===========================================================================



	R-Code for ERS-7



	Copyright (C) 2004 Sony Corporation

	All Rights Reserved.



===========================================================================


---------------------------------------------------------------------------
MWCID   Action Name                         Start pose 
---------------------------------------------------------------------------
2592    L_REFLEX.M_FEAR.S_SOUND             any
2593    L_REFLEX.M_FEAR.S_SOUND             any
2594    L_REFLEX.M_FEAR.S_SOUND             any
2595    L_REFLEX.M_FEAR.S_SOUNDLED          any
2596    L_REFLEX.M_FEAR.S_SOUNDLED          any
2597    L_REFLEX.M_FEAR.S_SOUNDLED          any
2598    L_EDSP.M_JOY.S_SOUND                any
2599    L_EDSP.M_JOY.S_SOUND                any
2600    L_EDSP.M_JOY.S_SOUND                any
2601    L_EDSP.M_JOY.S_SOUNDLED             any
2602    L_EDSP.M_JOY.S_SOUNDLED             any
2603    L_EDSP.M_JOY.S_SOUNDLED             any
2604    L_EDSP.M_SAD.S_SOUND                any
2605    L_EDSP.M_SAD.S_SOUND                any
2606    L_EDSP.M_SAD.S_SOUND                any
2607    L_EDSP.M_SAD.S_SOUNDLED             any
2608    L_EDSP.M_SAD.S_SOUNDLED             any
2609    L_EDSP.M_SAD.S_SOUNDLED             any
2610    L_EDSP.M_ANGRY.S_SOUND              any
2611    L_EDSP.M_ANGRY.S_SOUND              any
2612    L_EDSP.M_ANGRY.S_SOUND              any
2613    L_EDSP.M_ANGRY.S_SOUNDLED           any
2614    L_EDSP.M_ANGRY.S_SOUNDLED           any
2615    L_EDSP.M_ANGRY.S_SOUNDLED           any
2616    L_EDSP.M_SURP.S_SOUND               any
2617    L_EDSP.M_SURP.S_SOUND               any
2618    L_EDSP.M_SURP.S_SOUND               any
2619    L_EDSP.M_SURP.S_SOUNDLED            any
2620    L_EDSP.M_SURP.S_SOUNDLED            any
2621    L_EDSP.M_SURP.S_SOUNDLED            any
2622    L_EDSP.M_DISG.S_SOUND               any
2623    L_EDSP.M_DISG.S_SOUND               any
2624    L_EDSP.M_DISG.S_SOUND               any
2625    L_EDSP.M_DISG.S_SOUNDLED            any
2626    L_EDSP.M_DISG.S_SOUNDLED            any
2627    L_EDSP.M_DISG.S_SOUNDLED            any
2628    L_EDSP.M_FEAR.S_SOUND               any
2629    L_EDSP.M_FEAR.S_SOUND               any
2630    L_EDSP.M_FEAR.S_SOUND               any
2631    L_EDSP.M_FEAR.S_SOUNDLED            any
2632    L_EDSP.M_FEAR.S_SOUNDLED            any
2633    L_EDSP.M_FEAR.S_SOUNDLED            any
2634    L_FDSP.M_CHEER.S_FOUNDAGAIN         any
2635    L_FDSP.M_CHEER.S_FOUNDAGAIN         any
2636    L_FDSP.M_CHEER.S_FOUNDAGAIN         any
2637    L_FDSP.M_CHEER.S_FOUNDAGAIN         any
2638    L_FDSP.M_CHEER.S_FOUNDAGAIN         any
2639    L_FDSP.M_CHEER.S_FOUNDAGAIN         any
2640    L_FDSP.M_CHEER.S_FOUNDAGAIN         any
2641    L_FDSP.M_CHEER.S_FOUNDAGAIN         any
2643    L_SMESS.M_MODE.S_CLEARALL           any
2644    L_FDSP.M_CHEER.S_FOUNDTOY           any
2645    L_FDSP.M_CHEER.S_FOUNDTOY           any
2646    L_FDSP.M_CHEER.S_FOUNDTOY           any
2648    L_PHUMAN.M_PLAY.S_CLEAR             any
2649    E_USRIF.M_DISPLED.S_PREREACTION     any
2650    L_SMESS.M_SWARN.S_RESTRAINT         any
2731    L_EDSP.M_JOY.S_MOUTHSTOP            any
2731    L_FDSP.M_EXCITED.S_MOUTHSTOP        any
2734    L_FDSP.M_EXCITED.S_TAILSTOP         any
2735    L_REFLEX.M_PBACK.S_NORMAL           stand
2736    L_REFLEX.M_PBACK.S_NORMAL           sit
2737    L_REFLEX.M_PBACK.S_NORMAL           sleep
2738    L_PHUMAN.M_GREET.S_HI               stand
2739    L_PHUMAN.M_GREET.S_HI               sit
2742    L_PHUMAN.M_GREET.S_GOODMORNING      stand
2743    L_PHUMAN.M_GREET.S_GOODMORNING      sit
2746    L_PHUMAN.M_GREET.S_BYE              stand
2747    L_PHUMAN.M_GREET.S_BYE              sit
2750    L_PHUMAN.M_GREET.S_NORMAL           stand
2753    L_PALONE.M_DANCE.S_SPDANCE          stand
2754    L_PALONE.M_DANCE.S_SPDANCE          sit
2756    L_FDSP.M_COMFORT.S_SHAKEBODY        stand
2757    L_REQ.M_PLYME.S_GIVETOUCH           stand
2758    L_REQ.M_PLYME.S_GIVETOUCH           sit
2759    L_REQ.M_PLYME.S_GIVETOUCH           sleep
2760    L_FDSP.M_DEPRES.S_DOWN              stand
2761    L_PALONE.M_DANCE.S_DANCE1           stand
2762    L_PALONE.M_DANCE.S_DANCE1           sit
2764    L_MOVE.M_TURN.S_RIGHT20             sleep
2766    L_MOVE.M_TURN.S_LEFT20              sleep
2767    L_PHUMAN.M_APPEAL.S_APPEAL          stand
2768    L_PHUMAN.M_APPEAL.S_APPEAL          sit
2779    L_PHUMAN.M_APPEAL.S_CALL            stand
2780    L_PHUMAN.M_APPEAL.S_CALL            sit
2781    L_CONTACT.M_FRONT.S_KISS            stand
2782    L_CONTACT.M_FRONT.S_LICK            stand
2783    L_CONTACT.M_FRONT.S_SLAP            sit
2784    L_CONTACT.M_FRONT.S_UPTHROW         sit
2788    L_POBJ.M_INTEREST.S_PREACT          sleep
2789    L_POBJ.M_INTEREST.S_WANDER          sleep
2790    L_POBJ.M_INTEREST.S_BEAR            sleepf
2792    L_PALONE.M_GROOM.S_ITCH             sleep
2793    L_PALONE.M_IDLE.S_DIG               sleep
2794    L_PALONE.M_IDLE.S_DIG               sleep
2795    L_REFLEX.M_PBACK.S_FEELGOOD         sleep
2799    L_PHYSI.M_SLEEPY.S_SLEEPY           sleep
2805    L_FDSP.M_DEPRES.S_DEPRES            sleep
2807    L_INTENT.M_YES.S_YES                sleep
2810    L_FDSP.M_BORE.S_STRETCH             sleep
2811    L_FDSP.M_BORE.S_YAWN                sleep
2812    L_FDSP.M_COMFORT.S_SWAYING          sleep
2813    L_FDSP.M_COMFORT.S_SWAYING          sleep
2824    L_FDSP.M_COMFORT.S_SWAYING          sit
2825    L_FDSP.M_COMFORT.S_SWAYING          sit
2830    L_FDSP.M_BORE.S_YAWN                sit
2831    L_FDSP.M_BORE.S_STRETCH             sit
2832    L_PALONE.M_IDLE.S_DIG               sit
2833    L_PALONE.M_IDLE.S_DIG               sit
2834    L_PALONE.M_GROOM.S_ITCH             sit
2835    L_POBJ.M_INTEREST.S_BEAR            sitf
2842    L_REFLEX.M_PBACK.S_FEELGOOD         sit
2843    L_PHYSI.M_SLEEPY.S_SLEEPY           sit
2844    L_POBJ.M_INTEREST.S_PREACT          sit
2845    L_POBJ.M_INTEREST.S_WANDER          sit
2846    L_INTENT.M_YES.S_YES                sit
2847    L_FDSP.M_DEPRES.S_DEPRES            sit
2848    L_MOVE.M_TURN.S_LEFT20              sit
2849    L_MOVE.M_TURN.S_RIGHT20             sit
2850    L_PALONE.M_GROOM.S_ITCH             sleep
2851    L_PALONE.M_GROOM.S_ITCH             sit
2854    L_PALONE.M_GROOM.S_ITCH             sleep
2855    L_PALONE.M_GROOM.S_ITCH             sit
2856    L_PALONE.M_GROOM.S_ITCH             sleep
2857    L_PALONE.M_GROOM.S_ITCH             sit
2860    L_PHUMAN.M_APPEAL.S_CALL            sleep
2861    L_PHUMAN.M_APPEAL.S_CALL            sit
2862    L_PHUMAN.M_APPEAL.S_FAWNSTR         sleep
